iter	Passed	Remaining
372	471390	792391
373	472670	791154
374	473914	789857
375	475163	788568
376	476438	787324
377	477690	786041
378	478981	784821
379	480250	783566
380	481481	782250
381	482718	780942
382	484075	779828
383	485360	778599
384	486642	777364
385	487899	776089
386	489152	774807
387	490511	773692
388	491906	772634
389	493165	771361
390	494531	770254
391	495751	768921
392	496958	767566
393	498196	766261
394	499422	764938
395	500687	763674
396	501928	762375
397	503168	761074
398	504395	759753
399	505631	758446
400	506860	757130
401	508092	755819
402	509319	754500
403	510547	753184
404	511796	751898
405	512987	750529
406	514198	749188
407	515467	747933
408	516735	746677
409	518018	745441
410	519302	744206
411	520570	742950
412	521844	741701
413	523104	740433
414	524401	739216
415	525638	737915
416	526934	736696
417	528200	735436
418	529449	734153
419	530694	732863
420	532016	731680
421	533244	730368
422	534505	729101
423	535709	727756
424	536945	726455
425	538156	725122
426	539406	723841
427	540663	722568
428	541875	721238
429	543128	719961
430	544391	718698
431	545625	717396
432	546925	716181
433	548198	714932
434	549416	713610
435	550638	712293
436	551906	711037
437	553204	709819
438	554420	708496
439	555621	707154
440	556841	705838
441	558114	704588
442	559344	703284
443	560556	701958
444	561811	700686
445	563044	699386
446	564296	698111
447	565530	696813
448	566812	695576
449	568099	694343
450	569335	693049
451	570602	691791
452	571914	690589
453	573185	689337
454	574424	688046
455	575645	686734
456	576894	685456
457	578187	684230
458	579420	682933
459	580672	681658
460	581925	680385
461	583138	679066
462	584337	677730
463	585566	676430
464	586818	675157
465	588132	673954
466	589376	672671
467	590584	671348
468	591859	670101
469	593150	668872
470	594490	667696
471	595797	666485
472	597127	665298
473	598396	664043
474	599613	662730
475	600893	661487
476	602151	660220
477	603412	658956
478	604672	657691
479	605892	656383
480	607194	655163
481	608527	653977
482	609749	652672
483	610998	651394
484	612286	650159
485	613520	648867
486	614797	647620
487	616089	646389
488	617375	645151
489	618610	643859
490	619857	642581
491	621063	641260
492	622324	639997
493	623564	638711
494	624808	637430
495	626079	636177
496	627341	634914
497	628621	633670
498	629881	632406
499	631124	631124
500	632371	629847
501	633621	628572
502	634859	627286
503	636077	625981
504	637312	624692
505	638560	623416
506	639772	622105
507	640976	620788
508	642230	619519
509	643427	618195
510	644687	616931
511	645924	615646
512	647167	614367
513	648433	613110
514	649696	611850
515	650984	610613
516	652208	609317
517	653449	608036
518	654723	606785
519	656023	605560
520	657377	604383
521	658709	603185
522	660029	601976
523	661291	600714
524	662611	599505
525	663906	598273
526	665200	597039
527	666516	595825
528	667877	594650
529	669136	593385
530	670391	592115
531	671630	590833
532	672960	589629
533	674288	588424
534	675527	587140
535	676849	585929
536	678139	584689
537	679392	583418
538	680715	582207
539	681915	580890
540	683143	579599
541	684398	578329
542	685617	577029
543	686828	575724
544	688057	574432
545	689309	573162
546	690552	571883
547	691762	570577
548	692963	569265
549	694198	567980
550	695426	566690
551	696678	565420
552	697886	564114
553	699135	562842
554	700516	561675
555	701797	560427
556	703116	559211
557	704357	557931
558	705592	556648
559	706806	555348
560	708006	554037
561	709197	552719
562	710421	551428
563	711632	550127
564	712842	548825
565	714045	547518
566	715265	546225
567	716522	544960
568	717728	543657
569	718969	542380
570	720161	541067
571	721385	539777
572	722600	538482
573	723817	537188
574	725100	535943
575	726493	534779
576	727809	533558
577	729183	532379
578	730450	531121
579	731792	529918
580	733141	528720
581	734379	527441
582	735615	526160
583	736842	524874
584	738055	523577
585	739269	522282
586	740466	520975
587	741707	519699
588	743013	518469
589	744359	517266
590	745617	516002
591	746832	514709
592	748044	513413
593	749263	512122
594	750466	510821
595	751689	509534
596	752913	508248
597	754145	506967
598	755356	505672
599	756584	504389
600	757828	503117
601	759104	501866
602	760317	500574
