iter	RMSE
188	0.3523676182
189	0.3516402376
190	0.3510522596
191	0.350720314
192	0.3499933233
193	0.3498964322
194	0.3493821214
195	0.3490272082
196	0.3488715008
197	0.3485206168
198	0.3479958016
199	0.3477350234
200	0.3472263177
201	0.3466709956
202	0.3461338637
203	0.3458085433
204	0.3451940324
205	0.3448709588
206	0.3443616513
207	0.3443399094
208	0.3437305795
209	0.3437015093
210	0.3436645175
211	0.3432438353
212	0.3431837595
213	0.3427690776
214	0.34220724
215	0.3417101528
216	0.3411320962
217	0.3406324562
218	0.3405686512
219	0.3399922288
220	0.3392671807
221	0.3387111727
222	0.3383696662
223	0.3378831903
224	0.3375706931
225	0.3371291597
226	0.3371137244
227	0.3370959941
228	0.3370333284
229	0.3364499837
230	0.3359880705
231	0.3354665441
232	0.3354555826
233	0.3349824397
234	0.3349731541
235	0.3348794041
236	0.3348178691
237	0.3347521151
238	0.334590697
239	0.3341686336
240	0.3336751825
241	0.3336501943
242	0.3331650368
243	0.332842713
244	0.3323748836
245	0.3318165053
246	0.3316989718
247	0.3311773978
248	0.3306843379
249	0.3305316392
250	0.3300993126
251	0.3297619654
252	0.3293085787
253	0.3288113663
254	0.3288031193
255	0.3283190909
256	0.3279861792
257	0.3274697477
258	0.3268811471
259	0.3265501566
260	0.3263349926
261	0.3258522952
262	0.325363102
263	0.3247811594
264	0.324512751
265	0.3242202788
266	0.3237939339
267	0.323690228
268	0.3234125224
269	0.3230244453
270	0.3228463253
271	0.3223875023
272	0.3222880788
273	0.3219747744
274	0.3219654845
275	0.3215821904
276	0.3211451779
277	0.3210065006
278	0.3210002075
279	0.3206923652
280	0.3203883754
281	0.3201113304
282	0.319666991
283	0.3192934761
284	0.3189658665
285	0.3186970619
286	0.3183062744
287	0.3178805518
288	0.3174440223
289	0.3170399577
290	0.316477412
291	0.3159471252
292	0.3159401387
293	0.3156037742
294	0.3151990797
295	0.3147557543
296	0.3142823978
297	0.3141439032
298	0.3136505174
299	0.3133243397
300	0.3129665506
301	0.3124824599
302	0.312146023
303	0.311871447
304	0.3112974057
305	0.3110154963
306	0.3106210221
307	0.3103094686
308	0.3098933049
309	0.3096057422
310	0.3091949944
311	0.308795861
312	0.3087064658
313	0.3082828276
314	0.3079106426
315	0.3076991356
316	0.3076941791
317	0.3073200101
318	0.3072655987
319	0.3069724623
320	0.306438651
321	0.3061305759
322	0.3058068111
323	0.3058017325
324	0.3056022373
325	0.3053203184
326	0.3051117023
327	0.3049854472
328	0.3047337812
329	0.3045491303
330	0.3042290563
331	0.3039543963
332	0.303571824
333	0.3032627234
334	0.3030229554
335	0.3030183423
336	0.3029058193
337	0.3025232977
338	0.3022249655
339	0.3022209249
340	0.301867822
341	0.3016658686
342	0.3013618169
343	0.3009975244
344	0.3008320069
345	0.3003943343
346	0.3001733127
347	0.3000484735
348	0.2998422355
349	0.2994528696
350	0.2989505234
351	0.2986419686
352	0.2986380947
353	0.2982995462
354	0.2980898732
355	0.2977355735
356	0.2972887951
357	0.297067311
358	0.2967517708
359	0.2967481091
360	0.2965379294
361	0.2965187645
362	0.2963962413
363	0.296122773
364	0.2957790676
365	0.2955758406
366	0.2953295487
367	0.2948009718
368	0.2944791954
369	0.2942791901
370	0.293931692
371	0.2934754276
372	0.2932422234
373	0.2928857074
374	0.2926120988
375	0.2922453035
376	0.2921220116
377	0.2919212451
378	0.2917089144
379	0.2913979921
380	0.2912677783
381	0.29104241
382	0.2910386924
383	0.2907622212
384	0.2904288254
385	0.2901643408
386	0.2899530848
387	0.2896753893
388	0.2895687154
389	0.289215336
390	0.2890152735
391	0.2888186395
392	0.2887904406
393	0.2885402653
394	0.2884251952
395	0.2881842531
396	0.2879037401
397	0.2877680974
398	0.2874991096
399	0.2872581823
400	0.2870093601
401	0.2867146664
402	0.2864864045
403	0.2862463812
404	0.2859415977
405	0.285690814
406	0.2852840654
407	0.2851038941
408	0.285090636
409	0.2849646066
410	0.2847376979
411	0.284372464
412	0.2840102936
413	0.2838185135
414	0.2838143751
415	0.2833878636
416	0.2831294093
417	0.2830114032
418	0.2826601138
419	0.2824603483
420	0.2822126399
421	0.2820870074
422	0.2818676059
423	0.2815595233
424	0.2812720876
425	0.2811782201
426	0.2809703297
427	0.2806629816
428	0.2804140792
429	0.2801297984
430	0.2798073316
431	0.2795402163
432	0.2795264891
433	0.2793715722
434	0.2793577248
435	0.2789816079
436	0.2787082954
437	0.2784380126
438	0.2782871695
439	0.2780799905
440	0.2778111552
441	0.2778083496
442	0.2775234497
443	0.2773706851
444	0.2771356451
445	0.276838208
446	0.2765631842
447	0.276371102
448	0.2759456851
449	0.2757258161
450	0.2757120691
451	0.2757095957
452	0.2755583766
453	0.2753423923
454	0.2751226493
455	0.2749381786
456	0.2747464226
457	0.2744428734
458	0.2741468447
459	0.2740532759
460	0.2738892352
461	0.273491453
462	0.2731312377
463	0.2729499773
464	0.2726691034
465	0.2725100988
466	0.272376577
467	0.2721570014
468	0.2719577406
469	0.2717721603
470	0.2717632868
471	0.2715434171
472	0.2713387614
473	0.2709778726
474	0.270796818
475	0.2706205445
476	0.2704368334
477	0.2700793745
478	0.2698379457
479	0.2696341402
480	0.2694591431
481	0.2692212798
482	0.2690172779
483	0.268957853
484	0.2688307036
485	0.2685549939
486	0.2685013537
487	0.268355768
488	0.268120593
489	0.2679231694
490	0.2677367025
491	0.2675625546
492	0.2672605589
493	0.2671074848
494	0.2669882498
495	0.266848019
496	0.2667094822
497	0.2664545969
498	0.2662061057
499	0.265947185
500	0.265658919
501	0.2654332545
502	0.2652645374
503	0.2650051806
504	0.2648248047
505	0.2645932531
506	0.2645462212
507	0.2640907352
508	0.2636695331
509	0.2635237623
510	0.2632312816
511	0.2630672319
512	0.2628782345
513	0.2625748998
514	0.2624145267
515	0.262068157
516	0.2620301584
517	0.2618546347
518	0.2616792587
519	0.2614575489
520	0.2613086733
521	0.2611280049
522	0.2609546391
523	0.2607239388
524	0.2605479231
525	0.2602844055
526	0.2600451757
527	0.2598046609
528	0.2596946233
529	0.2595509629
530	0.2594037719
531	0.2591837957
532	0.2588701805
533	0.2585661002
534	0.2583954542
535	0.2581767567
536	0.2580532299
537	0.2577712247
538	0.2576221603
539	0.2574419248
540	0.2572383257
541	0.2569275443
542	0.2567840073
543	0.2565684933
544	0.2563866012
545	0.2563143889
546	0.2560815579
547	0.2558215794
548	0.2558016339
549	0.2557180821
550	0.2556124253
551	0.2556078016
552	0.2555510667
553	0.2553303307
554	0.2552435584
555	0.25489844
556	0.2547266304
557	0.2546236585
558	0.2544795785
559	0.2543791692
560	0.2543154409
561	0.2539900795
562	0.2537681206
563	0.2537550285
564	0.2534784897
565	0.2534679757
566	0.2534656225
567	0.2532123724
568	0.253066579
569	0.2530646495
570	0.2528783454
571	0.2527165559
572	0.2526761933
573	0.2525535527
574	0.252309912
575	0.2520839307
576	0.2519262792
577	0.2517886931
578	0.2517142252
579	0.2513666229
580	0.2513638651
581	0.2512525259
582	0.2511265329
583	0.250927752
584	0.2508418866
585	0.2505666486
586	0.2503606366
587	0.250198157
588	0.2499874218
589	0.2496968787
590	0.2495246611
591	0.2493630756
592	0.2492557032
593	0.2490203276
594	0.248946228
595	0.2489445073
596	0.2486915665
597	0.2484197352
598	0.2481349176
599	0.2479691327
600	0.2477834224
601	0.2476188827
602	0.2473977277
603	0.2473940718
604	0.247008008
605	0.2467846859
606	0.2465912529
607	0.2464132302
608	0.2462403606
609	0.2461414031
610	0.2459537348
611	0.2457388382
612	0.245593549
613	0.2453901264
614	0.2451748899
615	0.245151604
616	0.2449876624
617	0.244790427
618	0.2445594136
619	0.2442951731
620	0.2441739531
621	0.2439001061
622	0.2437795089
623	0.2435869471
624	0.2435573188
625	0.2435146321
626	0.2432588356
627	0.2431776197
628	0.2430393088
629	0.2429050657
630	0.2429034372
631	0.2429008624
632	0.2426101253
633	0.2423789735
634	0.2422767396
635	0.2420321775
636	0.2420296789
637	0.2419410017
638	0.241775818
639	0.2417137703
640	0.2414810319
641	0.2413244088
642	0.2411887385
643	0.240979689
644	0.2408379199
645	0.2406386832
646	0.240562093
647	0.2404324803
648	0.2403379452
649	0.2400808981
650	0.2398456094
651	0.2397116178
652	0.2395030236
653	0.2391838574
654	0.2389362338
655	0.2388052354
656	0.2385884806
657	0.2385041136
658	0.2383070764
659	0.2381459803
660	0.2381372186
661	0.2379926439
662	0.2379138712
663	0.2377822376
664	0.2376385603
665	0.2372309794
666	0.2370268908
667	0.2369174906
668	0.2368381732
669	0.2366869429
670	0.2365131715
671	0.2364000572
672	0.2362793228
673	0.2360973627
674	0.2360428309
675	0.2359589977
676	0.2359261709
677	0.2357446335
678	0.2356095165
679	0.2354542712
680	0.2353954282
681	0.2351858224
682	0.2350714601
683	0.2349071454
684	0.2347607701
685	0.2345105899
686	0.2343028184
687	0.2341370213
688	0.2339373417
689	0.233935982
690	0.2337164545
691	0.2335236107
692	0.2334366784
693	0.2332611045
694	0.2330836749
695	0.2329464415
696	0.2327480831
697	0.2326096825
698	0.2325710597
699	0.2325254553
700	0.232400594
701	0.2322496879
702	0.2320034323
703	0.2318662879
704	0.2317844543
705	0.2316451791
706	0.2314531267
707	0.2313523359
708	0.2312391061
709	0.2310641698
710	0.231027177
711	0.2307411258
712	0.2305748911
713	0.2305151713
714	0.2301086296
715	0.2299797993
716	0.2298417885
717	0.229832836
718	0.2297120281
719	0.2295388011
720	0.2294669847
721	0.229067533
722	0.2289785105
723	0.2287885505
724	0.228570484
725	0.228343729
726	0.2282060995
727	0.2280885585
728	0.2279716733
729	0.2279626207
730	0.2277871922
731	0.2276688779
732	0.2274578423
733	0.2272664278
734	0.2270957458
735	0.2270745786
736	0.2270336878
737	0.2268091593
738	0.2266688304
739	0.2265816096
740	0.2265080939
741	0.2264362944
742	0.2264094352
743	0.2262574801
744	0.2261696029
745	0.2260052408
746	0.225838225
747	0.2257477895
748	0.2255176962
749	0.2254240602
750	0.225230618
751	0.2251397731
752	0.2249949476
753	0.2247887364
754	0.2246599385
755	0.2245025215
756	0.2243571349
757	0.22419166
758	0.2239306572
759	0.2239065408
760	0.2238148259
761	0.223715995
762	0.2235894931
763	0.2234451416
764	0.2233152805
765	0.2231367771
766	0.2230517365
767	0.2229056633
768	0.2227465845
769	0.2225733304
770	0.2225214015
771	0.2222533596
772	0.2222521717
773	0.222047036
774	0.2218594883
775	0.2216623756
776	0.2214673732
777	0.2214073221
778	0.2213963563
779	0.2212613688
780	0.2212436475
781	0.2211077843
782	0.2209731714
783	0.2207857003
784	0.2207010861
785	0.2205159557
786	0.2203489742
787	0.2202124423
788	0.2200414512
789	0.2197685368
790	0.2196889009
791	0.2195635086
792	0.2193903816
793	0.2192209949
794	0.2191411991
795	0.218988686
796	0.2188391748
797	0.2186337297
798	0.218507645
799	0.2182969339
800	0.2181253234
801	0.2179947146
802	0.2178399128
803	0.2176362987
804	0.2175371356
805	0.2173708262
806	0.2172803669
807	0.2172457141
808	0.2171393341
809	0.2169683859
810	0.216841549
811	0.2167501648
812	0.2166066212
813	0.2164517402
814	0.2163731825
815	0.2162584566
816	0.2162554967
817	0.2160891344
818	0.2159005756
819	0.2157736975
820	0.2156693013
821	0.215530003
822	0.2153704784
823	0.2152342961
824	0.2151190363
825	0.2150280335
826	0.2148449849
827	0.2147170125
828	0.2145397179
829	0.2143891834
830	0.2142242821
831	0.2141490636
832	0.213963314
833	0.2138071169
834	0.2136864073
835	0.2135345761
836	0.2133061561
837	0.2132495624
838	0.2131151417
839	0.2129215964
840	0.2127774457
841	0.2126315888
842	0.2126008726
843	0.2124092257
844	0.212318923
845	0.2121783667
846	0.2121710227
847	0.2119877185
848	0.2118203789
849	0.2117265663
850	0.2115888188
851	0.2114116393
852	0.2112208588
853	0.2110017405
854	0.2108893687
855	0.2107886544
856	0.2106482109
857	0.2105787013
858	0.2104682326
859	0.2104574622
860	0.2103564818
861	0.2102091396
862	0.2101197394
863	0.2098986152
864	0.2098032882
865	0.2097132107
866	0.2095655831
867	0.2094137147
868	0.2092542731
869	0.2091240305
870	0.2090379948
871	0.2088947641
872	0.2088317706
873	0.2087476091
874	0.2086280973
875	0.2084594112
876	0.2084284802
877	0.2084238471
878	0.2082901548
879	0.2081381572
880	0.2080149943
881	0.2078999562
882	0.2078828604
883	0.2076983041
884	0.2075442692
885	0.2073473267
886	0.2072597433
887	0.2071502865
888	0.2070342581
889	0.207018376
890	0.2068875492
891	0.2067859772
892	0.2066869152
893	0.2064806613
894	0.2063250521
895	0.2062629416
896	0.2061441774
897	0.2061427176
898	0.2059832842
899	0.2058499493
900	0.2057381319
901	0.205720461
902	0.2055610489
903	0.2053606674
904	0.205319152
905	0.2052958861
906	0.2052949927
907	0.2052420035
908	0.2051082886
909	0.2050291039
910	0.2049282321
911	0.2048648615
912	0.2047508521
913	0.2046799011
914	0.2045541076
915	0.2043922238
916	0.2042994598
917	0.2041443924
918	0.2039656902
919	0.2039606837
920	0.203781848
921	0.2037345175
922	0.2035412092
923	0.2034988903
924	0.203447339
925	0.2033542498
926	0.2032893759
927	0.203216669
928	0.203041103
929	0.2029414626
930	0.2028873321
931	0.2027646099
932	0.202717676
933	0.2024836001
934	0.2023147096
935	0.2022735966
936	0.2021264248
937	0.202023826
938	0.2019614879
939	0.2017685042
940	0.2016636875
941	0.2015082885
942	0.2014282644
943	0.2012099573
944	0.2011303297
945	0.2010308188
946	0.2009641741
947	0.2008775236
948	0.2007820338
949	0.2006987734
950	0.2006761813
951	0.2005081344
952	0.2003287638
953	0.2001662738
954	0.1999755772
955	0.1997845874
956	0.1996243678
957	0.1994287423
958	0.199290485
959	0.1991345752
960	0.1990034425
961	0.1989674533
962	0.1988399658
963	0.1988106517
964	0.198640611
965	0.1984378325
966	0.1982599308
967	0.1981396711
968	0.1979789538
969	0.1978613014
970	0.1977437574
971	0.1976930197
972	0.1976449399
973	0.1974409291
974	0.1972600576
975	0.1972129931
976	0.1971523226
977	0.196989983
978	0.1968279499
979	0.1967696176
980	0.1966491718
981	0.1965826502
982	0.1965501179
983	0.1963669305
984	0.1962200657
985	0.1960807233
986	0.1960447179
987	0.1960283803
988	0.195942358
989	0.1958666361
990	0.1958161454
991	0.1956490026
992	0.1955171054
993	0.1954403623
994	0.1954394354
995	0.1952942737
996	0.1951767739
997	0.1950531065
998	0.1949338911
999	0.1947032161
